0,Shaka de Virgem,"As flores nascem e depois murcham... as estrelas brilham, mas algum dia se extinguem... Comparado com isso, a vida do homem nao e nada mais do que um simples piscar de olhos, um breve momento."
1,Ikki de Fenix,"Sempre existiram brigas entre pais filhos e irmaos, porem no começo nao acontecem brigas, as crianças amam os pais e os irmaos confiam um nos outros, quando sao novos. Mais derepente quando a fortuna chega ate eles,começam a se odiar e a se matarem.Mas jamais se esquecem da epoca em que se gostavam e da epoca em que confiavam um nos outros."
2,Ikki de Fenix,"Nao importa o quao poderoso voce seja, nem o numeros de vezes que me vencer, eu sempre voltarei e te pegarei sempre."
3,Seiya de Pegasus,"Cicatrizes sao como medalhas de coragem."
4,Seiya de Pegasus,"A armadura nao e necessaria para te vencer!"
5,Aioria de Leao,"Gosta tanto assim de amassar as coisas?... Entao vou ensinar a voce, que nao se cansa de pisar nos seres vivos... a humilhaçao de ser pisado!!"
6,Shun de Andromeda,"Mas.. sera possivel mesmo derrotar um deus?..."
7,Shun de Andromeda,"O Cosmo da Saori esta se despedindo de nos..."
8,Hyoga de Cisne,"Apenas os perdedores acham que os sonhos sao impossíveis. Para nos, os sonhos jamais sao impossiveis! Quando acreditamos num sonho e lutamos por ele, este se torna realidade. Mas para isso você precisa de muita coragem."
9,Prologo do Ceu,"Somos separados daqueles que amamos, e enfrentar essa dor nos torna ainda mais forte."
10,Shiryu de Dragao,"Poucas pessoas conhecem a beleza deste mundo… poucas pessoas a protegem…"
11,Saori Kido,"Por um acaso você sabe o que é o amor? Talvez os humanos sejam realmente seres tolos visto pelos olhos de uma deus,mas eles possuem aquilo que eles chamam de amor.”"